000,VERSIONS:,2:8.4a3,1:8.4a3,1:8.4a3%
001,CATCH return ok,7,13,53.85
002,CATCH return error,68,91,74.73
003,CATCH no catch used,7,14,50.00
004,IF if true numeric,12,33,36.36
005,IF elseif true numeric,15,47,31.91

006,IF else true numeric,15,46,32.61
007,IF if true num/num,13,32,40.62
008,IF if false num/num,13,32,40.62
009,IF if false al/num,28,57,49.12
010,IF if true al/num,34,54,62.96
011,IF if false al/num,34,58,58.62
012,IF if true al/al,33,100,33.00
013,IF elseif true al/al,50,87,57.47
014,IF else true al/al,50,92,54.35
015,SWITCH first true,50,81,61.73
016,SWITCH second true,55,84,65.48
017,SWITCH ninth true,56,96,58.33
018,SWITCH default true,48,81,59.26
019,DATA create in a list,5419,13514,40.10
020,DATA create in an array,5861,15537,37.72
021,DATA access in a list,4424,9967,44.39

022,DATA access in an array,4373,9167,47.70
023,EVAL cmd eval in list obj var,26,45,57.78
024,EVAL cmd eval as list,23,42,54.76
025,EVAL cmd eval as string,53,92,57.61
026,EVAL cmd and mixed lists,3805,11276,33.74
027,EVAL list cmd and mixed lists,3812,11325,33.66
028,EVAL list cmd and pure lists,592,1598,37.05
029,EXPR unbraced,174,250,69.60
030,EXPR braced,27,60,45.00
031,EXPR inline,28,51,54.90
032,EXPR one operand,8,13,61.54
033,EXPR ten operands,15,25,60.00


034,EXPR fifty operands,46,73,63.01
035,EXPR incr with incr,13,20,65.00
036,EXPR incr with expr,8,14,57.14
037,KLIST shuffle0 llength 1,154,260,59.23
038,KLIST shuffle0 llength 10,521,950,54.84
039,KLIST shuffle0 llength 100,4126,7781,53.03
040,KLIST shuffle0 llength 1000,46309,85434,54.20
041,KLIST shuffle0 llength 10000,612676,1000055,61.26
042,KLIST shuffle1 llength 1,100,181,55.25
043,KLIST shuffle1 llength 10,432,835,51.74
044,KLIST shuffle1 llength 100,5872,14144,41.52
045,KLIST shuffle1 llength 1000,1293956,1235661,104.72
046,KLIST shuffle1a llength 1,115,200,57.50
047,KLIST shuffle1a llength 10,442,1012,43.68
048,KLIST shuffle1a llength 100,4212,9609,43.83
049,KLIST shuffle1a llength 1000,42350,98262,43.10
050,KLIST shuffle1a llength 10000,445084,1052460,42.29
051,KLIST shuffle2 llength 1,123,205,60.00
052,KLIST shuffle2 llength 10,484,922,52.49

053,KLIST shuffle2 llength 100,4377,8347,52.44
054,KLIST shuffle2 llength 1000,46002,89585,51.35
055,KLIST shuffle2 llength 10000,525442,926369,56.72
056,KLIST shuffle3 llength 1,116,196,59.18
057,KLIST shuffle3 llength 10,420,911,46.10
058,KLIST shuffle3 llength 100,3730,8465,44.06
059,KLIST shuffle3 llength 1000,39397,87416,45.07
060,KLIST shuffle3 llength 10000,949689,1391544,68.25
061,KLIST shuffle4 llength 1,116,204,56.86
062,KLIST shuffle4 llength 10,450,1000,45.00
063,KLIST shuffle4 llength 100,4067,9326,43.61
064,KLIST shuffle4 llength 1000,39142,92580,42.28
065,KLIST shuffle4 llength 10000,421581,944205,44.65
066,"STR/LIST length; obj shimmer",3268,6767,48.29
067,"LIST length; pure list",17,21,80.95
068,STR length of a LIST,12,25,48.00
069,"LIST exact search; first item",18,24,75.00
070,"LIST exact search; middle item",74,111,66.67
071,"LIST exact search; last item",142,236,60.17
072,"LIST exact search; non-item",344,603,57.05
073,"LIST sorted search; first item",19,29,65.52
074,"LIST sorted search; middle item",19,27,70.37
075,"LIST sorted search; last item",19,27,70.37
076,"LIST sorted search; non-item",19,27,70.37
077,"LIST exact search; untyped item",148,230,64.35
078,"LIST exact search; typed item",107,119,89.92
079,"LIST sorted search; typed item",18,29,62.07
080,LIST sort,3620,4994,72.49
