000,VERSIONS:,1:8.4a3,1:8.3.3,1:8.2.3,1:8.1.1,1:8.0.5,1:7.6p2,1:7.5p1
001,CATCH return ok,11,6,7,4,5,28,17
002,CATCH return error,70,64,275,54,204,146,33
003,CATCH no catch used,10,6,7,13,4,24,9
004,IF if true numeric,17,11,13,7,9,152,61
005,IF elseif true numeric,20,15,16,20,11,299,292
006,IF else true numeric,20,15,16,15,11,318,82
007,IF if true num/num,17,12,281,22,9,329,174
008,IF if false num/num,17,12,13,13,9,202,182
009,IF if false al/num,27,20,20,29,17,467,121
010,IF if true al/al,31,26,26,51,169,292,184
011,IF if false al/al,31,25,25,51,60,217,243
012,IF if true al,32,25,25,42,51,214,76
013,IF elseif true al,47,39,338,89,156,358,154
014,IF else true al,46,40,42,71,51,292,323
015,SWITCH first true,63,42,103,58,73,391,241
016,SWITCH second true,58,39,153,65,62,340,282
017,SWITCH ninth true,67,44,238,73,112,391,284
018,SWITCH default true,62,38,46,73,77,492,292
019,DATA create in a list,4883,4083,15014,12925,7886,40180,29501
020,DATA create in an array,5388,4916,19172,12827,16792,53723,40784
021,DATA access in a list,4028,3546,15346,10386,7024,182889,175028
022,DATA access in an array,3507,3223,14156,6966,7640,43232,39744
023,EVAL cmd eval in list obj var,26,22,52,40,84,27,26
024,EVAL cmd eval as list,24,21,49,88,144,22,52
025,EVAL cmd eval as string,60,50,54,79,90,26,64
026,EVAL cmd and mixed lists,3347,3546,32485,21937,13914,3017,2112
027,EVAL list cmd and mixed lists,3403,3591,40366,19014,14703,2936,2259
028,EVAL list cmd and pure lists,543,582,40115,21974,12611,2653,2245
029,EXPR unbraced,153,167,502,23,331,313,365
030,EXPR braced,29,25,29,53,92,505,386
031,EXPR inline,31,30,40,68,59,321,177
032,EXPR one operand,11,6,158,9,11,47,65
033,EXPR ten operands,18,13,97,13,20,159,141
034,EXPR fifty operands,48,43,45,71,85,708,430
035,EXPR incr with incr,16,11,10,16,22,31,45
036,EXPR incr with expr,11,7,9,11,13,73,74
037,FCOPY std:      160010 bytes,10069,10242,46300,25104,26557
038,FCOPY binary:   160010 bytes,9932,9892,41776,25211,
039,FCOPY encoding: 160010 bytes,9818,9831,44598,25972,
040,KLIST shuffle0 llength 1,144,127,554,271,367
041,KLIST shuffle0 llength 10,457,413,1592,901,728
042,KLIST shuffle0 llength 100,3986,3552,13565,8229,6484
043,KLIST shuffle0 llength 1000,44083,41766,164223,92480,81157
044,KLIST shuffle0 llength 10000,563245,533804,2073612,1214997,1161217
045,KLIST shuffle1 llength 1,84,85,367,163,149
046,KLIST shuffle1 llength 10,358,333,1371,718,634
047,KLIST shuffle1 llength 100,6374,5238,12737,9243,8576
048,KLIST shuffle1 llength 1000,1190696,1194146,1770024,1762135,1736049
049,KLIST shuffle1a llength 1,110,100,94,172,150
050,KLIST shuffle1a llength 10,474,368,404,768,910
051,KLIST shuffle1a llength 100,4667,3625,3833,8986,9480
052,KLIST shuffle1a llength 1000,47818,37340,39248,84798,95305
053,KLIST shuffle1a llength 10000,474513,380522,408005,861405,1004602
054,KLIST shuffle2 llength 1,104,99,108,196,229
055,KLIST shuffle2 llength 10,440,375,481,938,1080
056,KLIST shuffle2 llength 100,3762,3625,4250,8904,9803
057,KLIST shuffle2 llength 1000,39573,37028,45651,95513,116933
058,KLIST shuffle2 llength 10000,474558,433771,527055,1176566,1304458
059,KLIST shuffle3 llength 1,104,98,102,217,170
060,KLIST shuffle3 llength 10,380,335,376,786,832
061,KLIST shuffle3 llength 100,3408,2883,3413,7161,7632
062,KLIST shuffle3 llength 1000,38716,33237,37667,87353,82985
063,KLIST shuffle3 llength 10000,945771,777699,844383,1789387,1732151
064,KLIST shuffle4 llength 1,114,102,100,202,178
065,KLIST shuffle4 llength 10,431,374,416,837,876
066,KLIST shuffle4 llength 100,3871,3250,3758,8572,8278
067,KLIST shuffle4 llength 1000,40201,32119,38186,82985,80450
068,KLIST shuffle4 llength 10000,393369,330472,398724,874454,834612
069,"STR/LIST length, obj shimmer",2390,2767,2333,905,28,2585,2638
070,"LIST length, pure list",18,13,13,21,18,2023,1837
071,STR length of a LIST,15,12,12,529,23,525,400
072,"LIST exact search, first item",19,11,14,17,32,2303,1693
073,"LIST exact search, middle item",69,25,27,46,38,1787,1944
074,"LIST exact search, last item",132,48,50,90,111,2261,2009
075,"LIST exact search, non-item",314,110,121,212,220,2099,2118
076,"LIST sorted search, first item",23,12,12,16,29,1862,1610
077,"LIST sorted search, middle item",24,26,26,42,40,1623,2252
078,"LIST sorted search, last item",24,52,49,84,121,2145,1784
079,"LIST sorted search, non-item",23,111,122,201,257,1999,2057
080,"LIST exact search, untyped item",131,47,51,80,101,2166,2218
081,"LIST exact search, typed item",128,48,49,77,111,2072,1872
082,"LIST sorted search, typed item",19,46,50,93,104,1887,2221
083,LIST sort,3299,3578,3293,6723,7021,10959,9644
084,LIST typed sort,2739,2943,2660,4737,4651,28889,23969
085,LIST remove first element,317,296,363,806,866,625,522
086,LIST remove middle element,325,291,358,692,876,656,677
087,LIST remove last element,318,293,360,689,879,754,675
088,LIST replace first element,310,289,346,722,917,727,978
089,LIST replace middle element,316,286,353,693,1045,1024,876
090,LIST replace last element,316,283,346,963,832,1450,1243
091,LIST replace first el with multiple,333,304,372,819,938,702,612
092,LIST replace middle el with multiple,319,310,351,691,736,1088,1123
093,LIST replace last el with multiple,319,282,347,813,740,1413,1313
094,LIST replace range,294,282,343,744,866,1198,971
095,LIST remove in mixed list,389,374,2195,833,999,829,617
096,LIST replace in mixed list,377,352,2184,1054,925,756,592
097,LIST index first element,18,10,13,16,25,451,375
098,LIST index middle element,17,10,13,16,23,516,536
099,LIST index last element,17,11,13,13,17,622,663
100,LIST insert an item at start,291,298,366,775,805,729,563
101,LIST insert an item at middle,269,266,370,684,667,978,630
102,"LIST insert an item at ""end""",257,254,349,670,1013,1779,1200
103,"LIST small, early range",23,19,16,42,35,500,383
104,"LIST small, late range",23,18,16,28,38,618,685
105,"LIST large, early range",37,29,24,54,108,511,697
106,"LIST large, late range",40,30,21,81,131,567,551
107,LIST append to list,409,401,396,917,1032,737,682
