# -*- tcl -*- bench/csv
1
1,8.6.12,/home/aku/opt/ActiveTcl/bin/tclsh-critcl
1,BBox 0 51 6 51 7,1.161
2,BBox 1 51 6 50 6,1.34
3,BBox 2 0 0 0 1,1.256
4,BBox 3 0 0 1 0,1.327
5,BBox 4 50.777 6 50.778 6,1.331
6,BBox 5 50.777 6 50.778 6.001,1.164
7,BBox 6 50 6 -50 174,1.592
8,BBoxList 0 51 6 51 7,1.092
9,BBoxList 1 51 6 50 6,1.258
10,BBoxList 2 0 0 0 1,1.082
11,BBoxList 3 0 0 1 0,1.259
12,BBoxList 4 50.777 6 50.778 6,1.244
13,BBoxList 5 50.777 6 50.778 6.001,1.125
14,BBoxList 6 50 6 -50 174,1.093
15,Box2Point 0 380.0 267.0,1.438
16,Box2Point 1 380.0 267.0,1.72
17,Box2Point 2 1410.0 913.0,1.763
18,Box2Point 3 1423.0 913.0,1.596
19,BoxCenter 0 51 6 51 7,1.278
20,BoxCenter 1 51 6 50 6,1.419
21,BoxCenter 2 0 0 0 1,1.235
22,BoxCenter 3 0 0 1 0,1.203
23,BoxCenter 4 50.777 6 50.778 6,1.231
24,BoxCenter 5 50.777 6 50.778 6.001,1.236
25,BoxCenter 6 50 6 -50 174,1.204
26,BoxCorners 0 49.300005 -123.158551 49.301624 -123.157253,1.754
27,BoxCorners 1 49.292809 -123.1589   49.314037 -123.116543,2.07
28,BoxCorners 2 49.300005 -123.158551 49.301624 -123.157253,2.069
29,BoxCorners 3 49.292809 -123.1589   49.314037 -123.116543,2.291
30,BoxDiameter 0 51 6 51 7,1.18
31,BoxDiameter 1 51 6 50 6,1.382
32,BoxDiameter 2 0 0 0 1,1.174
33,BoxDiameter 3 0 0 1 0,1.35
34,BoxDiameter 4 50.777 6 50.778 6,1.324
35,BoxDiameter 5 50.777 6 50.778 6.001,1.19
36,BoxDiameter 6 50 6 -50 174,1.402
37,BoxDimensions 0 51 6 51 7,1.296
38,BoxDimensions 1 51 6 50 6,1.449
39,BoxDimensions 2 0 0 0 1,1.231
40,BoxDimensions 3 0 0 1 0,1.213
41,BoxDimensions 4 50.777 6 50.778 6,1.22
42,BoxDimensions 5 50.777 6 50.778 6.001,1.218
43,BoxDimensions 6 50 6 -50 174,1.319
44,BoxFit 0 380.0 267.0 49.300005 -123.158551 49.301624 -123.157253,1.703
45,BoxFit 1 380.0 267.0 49.292809 -123.1589   49.314037 -123.116543,1.817
46,BoxFit 2 1410.0 913.0 49.300005 -123.158551 49.301624 -123.157253,1.579
47,BoxFit 3 1423.0 913.0 49.292809 -123.1589   49.314037 -123.116543,1.616
48,BoxInside 0 60 50 1,1.102
49,BoxInside 1 40 50 0,1.092
50,BoxInside 2 90 50 0,1.35
51,BoxInside 3 60 10 0,1.318
52,BoxInside 4 60 80 0,1.279
53,BoxOpposites 0 49.300005 -123.158551 49.301624 -123.157253,1.466
54,BoxOpposites 1 49.292809 -123.1589   49.314037 -123.116543,1.747
55,BoxOpposites 2 49.300005 -123.158551 49.301624 -123.157253,1.691
56,BoxOpposites 3 49.292809 -123.1589   49.314037 -123.116543,1.717
57,BoxPerimeter 0 51 6 51 7,1.335
58,BoxPerimeter 1 51 6 50 6,1.361
59,BoxPerimeter 2 0 0 0 1,1.243
60,BoxPerimeter 3 0 0 1 0,1.268
61,BoxPerimeter 4 50.777 6 50.778 6,1.279
62,BoxPerimeter 5 50.777 6 50.778 6.001,1.44
63,BoxPerimeter 6 50 6 -50 174,1.703
64,BoxValid 0 170,1.045
65,BoxValid 1 170,1.056
66,BoxValid 2 170,1.236
67,BoxValid 3 170,1.03
68,BoxValid 4 170,1.019
69,BoxValid 5 170,1.188
70,BoxValid 6 170,1.212
71,BoxValid 7 170,1.209
72,BoxValidList 0 170,1.054
73,BoxValidList 1 170,1.07
74,BoxValidList 2 170,1.262
75,BoxValidList 3 170,1.046
76,BoxValidList 4 170,1.038
77,BoxValidList 5 170,1.3
78,BoxValidList 6 170,1.275
79,BoxValidList 7 170,1.799
80,Center 0 51 6 51 7,1.632
81,Center 1 51 6 50 6,1.285
82,Center 2 0 0 0 1,1.084
83,Center 3 0 0 1 0,1.092
84,Center 4 50.777 6 50.778 6,1.086
85,Center 5 50.777 6 50.778 6.001,1.2
86,Center 6 50 6 -50 174,1.082
87,CenterList 0 51 6 51 7,1.105
88,CenterList 1 51 6 50 6,1.487
89,CenterList 2 0 0 0 1,1.019
90,CenterList 3 0 0 1 0,1.016
91,CenterList 4 50.777 6 50.778 6,1.02
92,CenterList 5 50.777 6 50.778 6.001,0.996
93,CenterList 6 50 6 -50 174,1.173
94,Diameter 0 51 6 51 7,1.052
95,Diameter 1 51 6 50 6,1.045
96,Diameter 2 0 0 0 1,1.034
97,Diameter 3 0 0 1 0,1.019
98,Diameter 4 50.777 6 50.778 6,1.029
99,Diameter 5 50.777 6 50.778 6.001,1.014
100,Diameter 6 50 6 -50 174,1.032
101,DiameterList 0 51 6 51 7,0.973
102,DiameterList 1 51 6 50 6,0.975
103,DiameterList 2 0 0 0 1,1.45
104,DiameterList 3 0 0 1 0,1.325
105,DiameterList 4 50.777 6 50.778 6,0.953
106,DiameterList 5 50.777 6 50.778 6.001,0.933
107,DiameterList 6 50 6 -50 174,0.946
108,Distance* 0 51 6 51 7,1.075
109,Distance* 1 51 6 50 6,1.066
110,Distance* 2 0 0 0 1,1.618
111,Distance* 3 0 0 1 0,1.287
112,Distance* 4 50.777 6 50.778 6,1.326
113,Distance* 5 50.777 6 50.778 6.001,1.02
114,Distance* 6 50 6 -50 174,1.168
115,Distance 0 51 6 51 7,1.035
116,Distance 1 51 6 50 6,1.01
117,Distance 2 0 0 0 1,1.514
118,Distance 3 0 0 1 0,1.234
119,Distance 4 50.777 6 50.778 6,1.445
120,Distance 5 50.777 6 50.778 6.001,1.078
121,Distance 6 50 6 -50 174,1.004
122,DistanceList 0 51 6 51 7,0.97
123,DistanceList 1 51 6 50 6,0.969
124,DistanceList 2 0 0 0 1,1.182
125,DistanceList 3 0 0 1 0,1.178
126,DistanceList 4 50.777 6 50.778 6,1.089
127,DistanceList 5 50.777 6 50.778 6.001,1.242
128,DistanceList 6 50 6 -50 174,0.957
129,Geo2Point* 1x 0 -10 -10,1.348
130,Geo2Point* 1x 0 -10 0,1.317
131,Geo2Point* 1x 0 -10 10,1.311
132,Geo2Point* 1x 0 0 -10,1.301
133,Geo2Point* 1x 0 0 0,1.298
134,Geo2Point* 1x 0 0 10,1.326
135,Geo2Point* 1x 0 10 -10,1.338
136,Geo2Point* 1x 0 10 0,1.537
137,Geo2Point* 1x 0 10 10,1.361
138,Geo2Point* 1x 1 -10 -10,1.549
139,Geo2Point* 1x 1 -10 0,1.341
140,Geo2Point* 1x 1 -10 10,1.306
141,Geo2Point* 1x 1 0 -10,1.321
142,Geo2Point* 1x 1 0 0,1.538
143,Geo2Point* 1x 1 0 10,1.31
144,Geo2Point* 1x 1 10 -10,1.542
145,Geo2Point* 1x 1 10 0,1.313
146,Geo2Point* 1x 1 10 10,1.329
147,Geo2Point* 1x 2 -10 -10,1.525
148,Geo2Point* 1x 2 -10 0,1.559
149,Geo2Point* 1x 2 -10 10,1.491
150,Geo2Point* 1x 2 0 -10,1.554
151,Geo2Point* 1x 2 0 0,1.491
152,Geo2Point* 1x 2 0 10,1.306
153,Geo2Point* 1x 2 10 -10,1.56
154,Geo2Point* 1x 2 10 0,1.509
155,Geo2Point* 1x 2 10 10,1.561
156,Geo2Point* 1x 3 -10 -10,1.308
157,Geo2Point* 1x 3 -10 0,1.298
158,Geo2Point* 1x 3 -10 10,1.306
159,Geo2Point* 1x 3 0 -10,1.304
160,Geo2Point* 1x 3 0 0,1.548
161,Geo2Point* 1x 3 0 10,1.441
162,Geo2Point* 1x 3 10 -10,1.539
163,Geo2Point* 1x 3 10 0,1.353
164,Geo2Point* 1x 3 10 10,1.319
165,Geo2Point* 1x 4 -10 -10,1.314
166,Geo2Point* 1x 4 -10 0,1.3
167,Geo2Point* 1x 4 -10 10,1.555
168,Geo2Point* 1x 4 0 -10,1.511
169,Geo2Point* 1x 4 0 0,1.364
170,Geo2Point* 1x 4 0 10,1.466
171,Geo2Point* 1x 4 10 -10,1.352
172,Geo2Point* 1x 4 10 0,1.506
173,Geo2Point* 1x 4 10 10,1.305
174,Geo2Point* 1x 5 -10 -10,1.31
175,Geo2Point* 1x 5 -10 0,1.338
176,Geo2Point* 1x 5 -10 10,1.372
177,Geo2Point* 1x 5 0 -10,1.389
178,Geo2Point* 1x 5 0 0,1.513
179,Geo2Point* 1x 5 0 10,1.546
180,Geo2Point* 1x 5 10 -10,1.313
181,Geo2Point* 1x 5 10 0,1.567
182,Geo2Point* 1x 5 10 10,1.441
183,Geo2Point* 1x 6 -10 -10,1.533
184,Geo2Point* 1x 6 -10 0,1.56
185,Geo2Point* 1x 6 -10 10,1.312
186,Geo2Point* 1x 6 0 -10,1.325
187,Geo2Point* 1x 6 0 0,1.737
188,Geo2Point* 1x 6 0 10,1.501
189,Geo2Point* 1x 6 10 -10,1.306
190,Geo2Point* 1x 6 10 0,1.812
191,Geo2Point* 1x 6 10 10,1.551
192,Geo2Point* 1x 7 -10 -10,1.325
193,Geo2Point* 1x 7 -10 0,1.308
194,Geo2Point* 1x 7 -10 10,1.313
195,Geo2Point* 1x 7 0 -10,1.31
196,Geo2Point* 1x 7 0 0,1.624
197,Geo2Point* 1x 7 0 10,1.512
198,Geo2Point* 1x 7 10 -10,1.336
199,Geo2Point* 1x 7 10 0,1.335
200,Geo2Point* 1x 7 10 10,1.321
201,Geo2Point* 1x 8 -10 -10,1.32
202,Geo2Point* 1x 8 -10 0,1.365
203,Geo2Point* 1x 8 -10 10,1.515
