# -*- tcl -*- bench/csv
1
1,8.6.12,/home/aku/opt/ActiveTcl/bin/tclsh-tcl
1,BBox 0 51 6 51 7,11.892
2,BBox 1 51 6 50 6,11.641
3,BBox 2 0 0 0 1,11.848
4,BBox 3 0 0 1 0,12.202
5,BBox 4 50.777 6 50.778 6,12.123
6,BBox 5 50.777 6 50.778 6.001,18.214
7,BBox 6 50 6 -50 174,11.614
8,BBoxList 0 51 6 51 7,11.377
9,BBoxList 1 51 6 50 6,11.483
10,BBoxList 2 0 0 0 1,11.171
11,BBoxList 3 0 0 1 0,11.623
12,BBoxList 4 50.777 6 50.778 6,11.202
13,BBoxList 5 50.777 6 50.778 6.001,11.836
14,BBoxList 6 50 6 -50 174,11.356
15,Box2Point 0 380.0 267.0,23.291
16,Box2Point 1 380.0 267.0,22.592
17,Box2Point 2 1410.0 913.0,24.142
18,Box2Point 3 1423.0 913.0,24.746
19,BoxCenter 0 51 6 51 7,2.91
20,BoxCenter 1 51 6 50 6,2.359
21,BoxCenter 2 0 0 0 1,2.626
22,BoxCenter 3 0 0 1 0,2.793
23,BoxCenter 4 50.777 6 50.778 6,2.415
24,BoxCenter 5 50.777 6 50.778 6.001,2.393
25,BoxCenter 6 50 6 -50 174,2.643
26,BoxCorners 0 49.300005 -123.158551 49.301624 -123.157253,3.065
27,BoxCorners 1 49.292809 -123.1589   49.314037 -123.116543,2.557
28,BoxCorners 2 49.300005 -123.158551 49.301624 -123.157253,2.45
29,BoxCorners 3 49.292809 -123.1589   49.314037 -123.116543,2.856
30,BoxDiameter 0 51 6 51 7,9.323
31,BoxDiameter 1 51 6 50 6,9.111
32,BoxDiameter 2 0 0 0 1,8.797
33,BoxDiameter 3 0 0 1 0,9.803
34,BoxDiameter 4 50.777 6 50.778 6,8.724
35,BoxDiameter 5 50.777 6 50.778 6.001,8.876
36,BoxDiameter 6 50 6 -50 174,9.112
37,BoxDimensions 0 51 6 51 7,2.25
38,BoxDimensions 1 51 6 50 6,2.252
39,BoxDimensions 2 0 0 0 1,2.671
40,BoxDimensions 3 0 0 1 0,2.25
41,BoxDimensions 4 50.777 6 50.778 6,2.283
42,BoxDimensions 5 50.777 6 50.778 6.001,2.291
43,BoxDimensions 6 50 6 -50 174,2.557
44,BoxFit 0 380.0 267.0 49.300005 -123.158551 49.301624 -123.157253,81.193
45,BoxFit 1 380.0 267.0 49.292809 -123.1589   49.314037 -123.116543,58.422
46,BoxFit 2 1410.0 913.0 49.300005 -123.158551 49.301624 -123.157253,32.269
47,BoxFit 3 1423.0 913.0 49.292809 -123.1589   49.314037 -123.116543,84.84
48,BoxInside 0 60 50 1,3.133
49,BoxInside 1 40 50 0,2.581
50,BoxInside 2 90 50 0,2.763
51,BoxInside 3 60 10 0,3.115
52,BoxInside 4 60 80 0,2.891
53,BoxOpposites 0 49.300005 -123.158551 49.301624 -123.157253,2.48
54,BoxOpposites 1 49.292809 -123.1589   49.314037 -123.116543,2.619
55,BoxOpposites 2 49.300005 -123.158551 49.301624 -123.157253,2.208
56,BoxOpposites 3 49.292809 -123.1589   49.314037 -123.116543,2.472
57,BoxPerimeter 0 51 6 51 7,22.06
58,BoxPerimeter 1 51 6 50 6,22.558
