Quart,Type,Width
0,0.63,0.63
1,0.65,0.65
2,0.65,0.65
3,0.65,0.65
4,0.65,0.65
5,0.65,0.65
6,0.65,0.65
7,0.65,0.65
8,0.65,0.65
9,0.65,0.65
10,0.65,0.65
11,0.65,0.65
12,0.65,0.65
13,0.65,0.65
14,0.65,0.65
15,0.65,0.65
16,0.65,0.65
17,0.65,0.65
18,0.65,0.65
19,0.65,0.65
20,0.65,0.65
21,0.65,0.65
22,0.65,0.65
23,0.65,0.65
24,0.65,0.65
25,0.65,0.65
26,0.65,0.65
27,0.65,0.65
28,0.65,0.65
29,0.65,0.65
30,0.65,0.65
31,0.65,0.65
32,0.65,0.65
33,0.65,0.65
34,0.65,0.65
35,0.65,0.65
36,0.65,0.65
37,0.65,0.65
38,0.65,0.65
39,0.65,0.65
40,0.65,0.65
41,0.65,0.65
42,0.65,0.65
43,0.65,0.65
44,0.66,0.66
45,0.66,0.66
46,0.66,0.66
47,0.66,0.66
48,0.66,0.66
49,0.66,0.66
50,0.66,0.66
51,0.66,0.66
52,0.66,0.66
53,0.66,0.66
54,0.66,0.66
55,0.66,0.66
56,0.66,0.66
57,0.66,0.66
58,0.66,0.66
59,0.66,0.66
60,0.66,0.66
61,0.66,0.66
62,0.66,0.66
63,0.66,0.66
64,0.66,0.66
65,0.66,0.66
66,0.66,0.66
67,0.66,0.66
68,0.66,0.66
69,0.66,0.66
70,0.66,0.66
71,0.66,0.66
72,0.66,0.66
73,0.66,0.66
74,0.66,0.66
75,0.66,0.66
76,0.66,0.66
77,0.66,0.66
78,0.66,0.66
79,0.66,0.66
80,0.66,0.66
81,0.66,0.66
82,0.66,0.66
83,0.66,0.66
84,0.66,0.66
85,0.67,0.67
86,0.67,0.67
87,0.67,0.67
88,0.67,0.67
89,0.67,0.67
90,0.67,0.67
91,0.68,0.68
92,0.69,0.69
93,0.69,0.69
94,0.69,0.69
95,0.69,0.69
96,0.7,0.7
97,0.7,0.7
98,0.71,0.71
99,0.78,0.78
100,2.37,2.37
