Quart,Type,Width
0,0.52,0.52
1,0.56,0.56
2,0.56,0.56
3,0.56,0.56
4,0.56,0.56
5,0.56,0.56
6,0.56,0.56
7,0.56,0.56
8,0.56,0.56
9,0.56,0.56
10,0.57,0.57
11,0.57,0.57
12,0.57,0.57
13,0.57,0.57
14,0.57,0.57
15,0.57,0.57
16,0.57,0.57
17,0.57,0.57
18,0.57,0.57
19,0.57,0.57
20,0.57,0.57
21,0.58,0.58
22,0.58,0.58
23,0.58,0.58
24,0.58,0.58
25,0.58,0.58
26,0.58,0.58
27,0.58,0.58
28,0.58,0.58
29,0.59,0.59
30,0.59,0.59
31,0.59,0.59
32,0.59,0.59
33,0.59,0.59
34,0.59,0.59
35,0.59,0.59
36,0.59,0.59
37,0.59,0.59
38,0.59,0.59
39,0.59,0.59
40,0.59,0.59
41,0.59,0.59
42,0.59,0.59
43,0.59,0.59
44,0.59,0.59
45,0.59,0.59
46,0.59,0.59
47,0.59,0.59
48,0.59,0.59
49,0.59,0.59
50,0.59,0.59
51,0.59,0.59
52,0.59,0.59
53,0.59,0.59
54,0.59,0.59
55,0.59,0.59
56,0.59,0.59
57,0.59,0.59
58,0.59,0.59
59,0.59,0.59
60,0.59,0.59
61,0.59,0.59
62,0.59,0.59
63,0.59,0.59
64,0.59,0.59
65,0.59,0.59
66,0.59,0.59
67,0.59,0.59
68,0.59,0.59
69,0.59,0.59
70,0.59,0.59
71,0.59,0.59
72,0.59,0.59
73,0.59,0.59
74,0.59,0.59
75,0.59,0.59
76,0.59,0.59
77,0.6,0.6
78,0.6,0.6
79,0.6,0.6
80,0.6,0.6
81,0.6,0.6
82,0.6,0.6
83,0.6,0.6
84,0.6,0.6
85,0.6,0.6
86,0.6,0.6
87,0.61,0.61
88,0.61,0.61
89,0.61,0.61
90,0.61,0.61
91,0.61,0.61
92,0.62,0.62
93,0.62,0.62
94,0.62,0.62
95,0.62,0.62
96,0.62,0.62
97,0.62,0.62
98,0.63,0.63
99,0.64,0.64
100,2.15,2.15
