Quart,Type,Width
0,0.38,0.38
1,13.31,13.31
2,13.44,13.44
3,13.46,13.46
4,13.48,13.48
5,13.49,13.49
6,13.5,13.5
7,13.51,13.51
8,13.53,13.53
9,13.56,13.56
10,13.6,13.6
11,13.66,13.66
12,13.79,13.79
13,13.85,13.85
14,13.87,13.87
15,13.89,13.89
16,13.92,13.92
17,13.95,13.95
18,14.01,14.01
19,16.42,16.42
20,16.83,16.83
21,16.94,16.94
22,17.38,17.38
23,18.44,18.44
24,18.49,18.49
25,18.6,18.6
26,19.05,19.05
27,20.13,20.13
28,20.33,20.33
29,21.05,21.05
30,21.24,21.24
31,21.31,21.31
32,21.33,21.33
33,21.34,21.34
34,21.36,21.36
35,21.4,21.4
36,21.43,21.43
37,21.47,21.47
38,21.51,21.51
39,21.54,21.54
40,21.58,21.58
41,21.62,21.62
42,21.67,21.67
43,21.74,21.74
44,21.79,21.79
45,21.84,21.84
46,21.87,21.87
47,21.89,21.89
48,21.95,21.95
49,22.1,22.1
50,22.41,22.41
51,22.54,22.54
52,22.62,22.62
53,22.66,22.66
54,22.67,22.67
55,22.69,22.69
56,22.69,22.69
57,22.71,22.71
58,22.72,22.72
59,22.73,22.73
60,22.74,22.74
61,22.76,22.76
62,22.78,22.78
63,22.81,22.81
64,22.83,22.83
65,22.86,22.86
66,22.9,22.9
67,22.95,22.95
68,23.02,23.02
69,23.08,23.08
70,23.14,23.14
71,23.2,23.2
72,23.24,23.24
73,23.28,23.28
74,23.32,23.32
75,23.37,23.37
76,23.41,23.41
77,23.46,23.46
78,23.49,23.49
79,23.53,23.53
80,23.55,23.55
81,23.57,23.57
82,23.58,23.58
83,23.59,23.59
84,23.6,23.6
85,23.61,23.61
86,23.62,23.62
87,23.63,23.63
88,23.63,23.63
89,23.64,23.64
90,23.65,23.65
91,23.66,23.66
92,23.67,23.67
93,23.69,23.69
94,23.71,23.71
95,23.73,23.73
96,23.76,23.76
97,23.8,23.8
98,23.85,23.85
99,23.97,23.97
100,31.51,31.51
