Quart,Type,Width
0,0.34,0.34
1,0.34,0.34
2,0.34,0.34
3,0.34,0.34
4,0.34,0.34
5,0.34,0.34
6,0.34,0.34
7,0.34,0.34
8,0.34,0.34
9,0.35,0.35
10,0.35,0.35
11,0.35,0.35
12,0.35,0.35
13,0.35,0.35
14,0.35,0.35
15,0.35,0.35
16,0.35,0.35
17,0.35,0.35
18,0.35,0.35
19,0.35,0.35
20,0.35,0.35
21,0.35,0.35
22,0.35,0.35
23,0.35,0.35
24,0.35,0.35
25,0.35,0.35
26,0.35,0.35
27,0.35,0.35
28,0.35,0.35
29,0.35,0.35
30,0.35,0.35
31,0.35,0.35
32,0.35,0.35
33,0.35,0.35
34,0.35,0.35
35,0.35,0.35
36,0.35,0.35
37,0.35,0.35
38,0.35,0.35
39,0.35,0.35
40,0.35,0.35
41,0.35,0.35
42,0.35,0.35
43,0.35,0.35
44,0.35,0.35
45,0.35,0.35
46,0.35,0.35
47,0.35,0.35
48,0.35,0.35
49,0.35,0.35
50,0.35,0.35
51,0.35,0.35
52,0.35,0.35
53,0.35,0.35
54,0.35,0.35
55,0.35,0.35
56,0.35,0.35
57,0.35,0.35
58,0.35,0.35
59,0.35,0.35
60,0.35,0.35
61,0.35,0.35
62,0.35,0.35
63,0.35,0.35
64,0.35,0.35
65,0.35,0.35
66,0.35,0.35
67,0.35,0.35
68,0.35,0.35
69,0.35,0.35
70,0.35,0.35
71,0.35,0.35
72,0.35,0.35
73,0.35,0.35
74,0.35,0.35
75,0.35,0.35
76,0.35,0.35
77,0.35,0.35
78,0.35,0.35
79,0.35,0.35
80,0.35,0.35
81,0.35,0.35
82,0.35,0.35
83,0.35,0.35
84,0.35,0.35
85,0.35,0.35
86,0.35,0.35
87,0.35,0.35
88,0.36,0.36
89,0.36,0.36
90,0.36,0.36
91,0.36,0.36
92,0.36,0.36
93,0.36,0.36
94,0.36,0.36
95,0.37,0.37
96,0.37,0.37
97,0.38,0.38
98,0.38,0.38
99,0.38,0.38
100,1.05,1.05
