Quart,Type,Width
0,0.58,0.58
1,0.62,0.62
2,0.62,0.62
3,0.62,0.62
4,0.62,0.62
5,0.62,0.62
6,0.62,0.62
7,0.62,0.62
8,0.62,0.62
9,0.62,0.62
10,0.63,0.63
11,0.63,0.63
12,0.63,0.63
13,0.63,0.63
14,0.63,0.63
15,0.63,0.63
16,0.63,0.63
17,0.63,0.63
18,0.63,0.63
19,0.63,0.63
20,0.63,0.63
21,0.64,0.64
22,0.64,0.64
23,0.64,0.64
24,0.65,0.65
25,0.65,0.65
26,0.65,0.65
27,0.65,0.65
28,0.65,0.65
29,0.65,0.65
30,0.65,0.65
31,0.65,0.65
32,0.65,0.65
33,0.65,0.65
34,0.65,0.65
35,0.65,0.65
36,0.65,0.65
37,0.65,0.65
38,0.65,0.65
39,0.65,0.65
40,0.65,0.65
41,0.65,0.65
42,0.66,0.66
43,0.66,0.66
44,0.66,0.66
45,0.66,0.66
46,0.66,0.66
47,0.66,0.66
48,0.66,0.66
49,0.66,0.66
50,0.66,0.66
51,0.66,0.66
52,0.66,0.66
53,0.66,0.66
54,0.66,0.66
55,0.66,0.66
56,0.66,0.66
57,0.66,0.66
58,0.66,0.66
59,0.66,0.66
60,0.66,0.66
61,0.66,0.66
62,0.66,0.66
63,0.66,0.66
64,0.66,0.66
65,0.66,0.66
66,0.66,0.66
67,0.66,0.66
68,0.66,0.66
69,0.66,0.66
70,0.66,0.66
71,0.66,0.66
72,0.66,0.66
73,0.66,0.66
74,0.66,0.66
75,0.66,0.66
76,0.66,0.66
77,0.66,0.66
78,0.66,0.66
79,0.66,0.66
80,0.66,0.66
81,0.67,0.67
82,0.67,0.67
83,0.67,0.67
84,0.67,0.67
85,0.67,0.67
86,0.68,0.68
87,0.68,0.68
88,0.69,0.69
89,0.69,0.69
90,0.69,0.69
91,0.69,0.69
92,0.69,0.69
93,0.69,0.69
94,0.69,0.69
95,0.7,0.7
96,0.7,0.7
97,0.7,0.7
98,0.7,0.7
99,0.71,0.71
100,2.13,2.13
